,City,Cloudiness,Humidity,Lat,Max Temp,Wind Speed
0,Busselton,0,100,-33.64,63.39,18.92
1,Bambous Virieux,75,88,-20.34,80.6,2.24
2,Hilo,90,84,19.71,75.92,10.29
3,Aonla,0,87,28.27,49.44,5.61
4,Mar del Plata,0,47,-46.43,72.89,7.07
5,Bambanglipuro,68,95,-7.95,75.36,4.16
6,Yellowknife,75,66,62.45,-29.21,3.38
7,Bowen,75,94,-20.01,75.2,6.93
8,Puerto Escondido,5,62,15.86,84.2,9.17
9,Hobart,75,77,-42.88,62.6,13.87
10,Arraial do Cabo,20,78,-22.97,80.6,14.99
11,Butaritari,36,100,3.07,83.69,20.94
12,Zhezkazgan,24,53,47.8,-0.33,7.63
13,Bethel,90,100,60.79,30.69,10.29
14,Victoria,75,100,5.28,76.21,2.37
15,Rikitea,0,100,-23.12,81.84,7.63
16,Vaini,0,62,15.34,65.33,6.96
17,Atuona,12,100,-9.8,79.59,14.79
18,Chokurdakh,36,52,70.62,-30.84,9.31
19,Mataura,68,49,-46.19,70.19,24.74
20,Sinnamary,92,93,5.38,80.22,13.78
21,Coronado,20,66,8.53,86.14,14.99
22,Bluff,88,74,-23.58,77.66,14.12
23,Cerrito,40,78,6.84,75.2,6.93
24,Eureka,90,92,40.8,47.16,9.17
25,Buala,92,100,-8.15,74.78,6.62
26,Cidreira,88,75,-30.17,70.41,9.53
27,Bilecik,0,93,40.14,35.08,2.24
28,Dikson,24,85,73.51,-8.61,11.77
29,Faanui,92,100,-16.48,82.16,11.65
30,Avarua,90,94,-21.21,78.8,6.93
31,Albany,40,53,42.65,41.05,8.05
32,Samarai,32,93,-10.62,87.2,10.54
33,Mitchell,90,76,43.71,14.0,20.8
34,Puerto Ayora,20,70,-0.74,84.2,8.05
35,Saint-Philippe,90,85,45.36,10.69,12.75
36,Airai,36,83,-8.93,76.13,1.59
37,Nouadhibou,80,72,20.93,62.6,18.34
38,Vao,80,93,59.1,31.22,9.19
